model,timezero,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar,Unnamed: 0
CMU-TimeSeries,2021-01-10,01/11/21-21:49:57,,,v1,
CMU-TimeSeries,2021-01-10,01/11/21-21:49:57,,,v1,
CMU-TimeSeries,2021-01-18,01/18/21-23:15:23,,,v1,
CMU-TimeSeries,2021-01-18,01/18/21-23:15:23,,,v1,
CMU-TimeSeries,2021-01-25,01/25/21-21:14:05,,,v1,
CMU-TimeSeries,2021-01-25,01/25/21-21:14:05,,,v1,
CMU-TimeSeries,2021-02-01,02/01/21-18:38:22,,,v1,
CMU-TimeSeries,2021-02-01,02/01/21-18:38:22,,,v1,
CMU-TimeSeries,2021-02-08,02/08/21-17:30:06,,,v1,
CMU-TimeSeries,2021-02-08,02/08/21-17:30:06,,,v1,
CMU-TimeSeries,2021-02-15,02/15/21-16:29:42,,,v1,
CMU-TimeSeries,2021-02-15,02/15/21-16:29:42,,,v1,
CMU-TimeSeries,2021-02-22,02/22/21-19:05:56,,,v1,
CMU-TimeSeries,2021-02-22,02/22/21-19:05:56,,,v1,
CMU-TimeSeries,2021-03-01,03/01/21-16:23:05,,,v1,
CMU-TimeSeries,2021-03-01,03/01/21-16:23:05,,,v1,
CMU-TimeSeries,2021-03-08,03/08/21-18:09:31,,,v1,
CMU-TimeSeries,2021-03-08,03/08/21-18:09:31,,,v1,
CMU-TimeSeries,2021-03-15,03/15/21-18:58:15,,,v1,
CMU-TimeSeries,2021-03-15,03/15/21-18:58:15,,,v1,
CMU-TimeSeries,2021-03-22,03/22/21-17:35:58,,,v1,
CMU-TimeSeries,2021-03-22,03/22/21-17:35:58,,,v1,
CMU-TimeSeries,2021-03-29,03/29/21-18:08:10,,,v1,
CMU-TimeSeries,2021-03-29,03/29/21-18:08:10,,,v1,
CMU-TimeSeries,2021-04-05,04/05/21-17:53:56,,,v1,
CMU-TimeSeries,2021-04-05,04/05/21-17:53:56,,,v1,
CMU-TimeSeries,2021-04-12,04/12/21-17:58:54,,,v1,
CMU-TimeSeries,2021-04-12,04/12/21-17:58:54,,,v1,
CMU-TimeSeries,2021-04-19,04/19/21-18:10:35,,,v1,
CMU-TimeSeries,2021-04-19,04/19/21-18:10:35,,,v1,
CMU-TimeSeries,2021-04-26,04/26/21-17:21:14,,,v1,
CMU-TimeSeries,2021-04-26,04/26/21-17:21:14,,,v1,
CMU-TimeSeries,2021-05-03,05/03/21-17:17:35,,,v1,
CMU-TimeSeries,2021-05-03,05/03/21-17:17:35,,,v1,
CMU-TimeSeries,2021-05-10,05/10/21-17:55:33,,,v1,
CMU-TimeSeries,2021-05-10,05/10/21-17:55:33,,,v1,
CMU-TimeSeries,2021-05-17,05/17/21-18:06:00,,,v1,
CMU-TimeSeries,2021-05-17,05/17/21-18:06:00,,,v1,
CMU-TimeSeries,2021-05-24,05/24/21-17:45:13,,,v1,
CMU-TimeSeries,2021-05-24,05/24/21-17:45:13,,,v1,
CMU-TimeSeries,2021-05-31,05/31/21-18:08:04,,,v1,
CMU-TimeSeries,2021-05-31,05/31/21-18:08:04,,,v1,
CMU-TimeSeries,2021-06-07,06/07/21-18:02:41,,,v1,
CMU-TimeSeries,2021-06-07,06/07/21-18:02:41,,,v1,
CMU-TimeSeries,2021-06-14,06/14/21-17:17:49,,,v1,
CMU-TimeSeries,2021-06-14,06/14/21-17:17:49,,,v1,
CMU-TimeSeries,2021-06-21,06/21/21-16:21:29,,,v1,
CMU-TimeSeries,2021-06-21,06/21/21-16:21:29,,,v1,
CMU-TimeSeries,2021-06-28,06/28/21-18:18:45,,,v1,
CMU-TimeSeries,2021-06-28,06/28/21-18:18:45,,,v1,
COVIDhub-baseline,2020-05-04,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-05-04,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-05-11,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-05-11,07/06/20-21:48:04,,,v1,
